# of Units,Date,Description,Address,Location Type
1,11/5/18 12:51,"Good intent call, other",108  Dolly ST ,1 or 2 family dwelling
1,11/5/18 13:23,"EMS call, excluding vehicle accident with injury",1225  Hwy 123  ,Preschool
1,11/5/18 19:52,Dispatched & cancelled en route,1009  Meredith ST ,1 or 2 family dwelling
5,11/5/18 23:34,Overheated motor,1150 E River Ridge PKWY ,Multifamily dwellings
3,11/5/18 23:49,"Alarm system sounded, no fire - unintentional",109  West AVE ,Multifamily dwellings
1,11/6/18 0:57,"Medical assist, assist EMS crew", N LBJ DR ,Street or road in commercial area
1,11/6/18 2:42,"Medical assist, assist EMS crew",204  Oakdale DR ,1 or 2 family dwelling
1,11/6/18 5:29,"EMS call, excluding vehicle accident with injury",235 W Sierra CIR ,1 or 2 family dwelling
1,11/6/18 6:02,"EMS call, excluding vehicle accident with injury",505  Lacey Oak LP ,1 or 2 family dwelling
1,11/6/18 7:17,Alarm system sounded due to malfunction,109  West AVE ,Multifamily dwellings
1,11/6/18 8:58,Smoke detector activation due to malfunction,103  Mosscliff CIR ,"Sorority house, fraternity house"
1,11/6/18 9:31,Motor vehicle accident with no injuries,1600  Aquarena Springs DR ,Highway or divided highway
1,11/6/18 10:05,No incident found on arrival at dispatch address,1319  Andalucia DR ,1 or 2 family dwelling
2,11/6/18 10:54,"Unintentional transmission of alarm, other",2601  Rattler RD ,High school/junior high school/middle school
1,11/6/18 12:50,"EMS call, excluding vehicle accident with injury",1716  Hofheinz ST ,1 or 2 family dwelling
1,11/6/18 12:54,Vehicle accident with injuries,1000 S Wonder World DR ,Street or road in commercial area
1,11/6/18 16:11,"EMS call, excluding vehicle accident with injury",1410 N LBJ DR ,1 or 2 family dwelling
1,11/6/18 16:58,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,11/6/18 20:24,Motor vehicle/pedestrian accident (MV Ped),100 W Woods ST ,"Residential street, road or residential driveway"
2,11/6/18 21:24,Motor vehicle accident with no injuries,  Hwy 80  ,Highway or divided highway
1,11/7/18 0:41,Assist police or other governmental agency,3939 S IH 35  ,Specialty shop
1,11/7/18 2:29,Motor vehicle accident with no injuries,  Charles Austin DR ,Highway or divided highway
1,11/7/18 7:26,"EMS call, excluding vehicle accident with injury",1716  Hofheinz ST ,1 or 2 family dwelling
1,11/7/18 10:09,"EMS call, excluding vehicle accident with injury",931  Sycamore ST ,1 or 2 family dwelling
2,11/7/18 10:38,Motor vehicle accident with no injuries, E Hopkins ST ,Street or road in commercial area
2,11/7/18 11:19,Motor vehicle accident with no injuries,  River Ridge PKWY ,Street or road in commercial area
1,11/7/18 12:23,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
1,11/7/18 14:30,"Medical assist, assist EMS crew",1703 N IH 35  ,Multifamily dwellings
1,11/7/18 16:13,"EMS call, excluding vehicle accident with injury",117  Linda DR ,1 or 2 family dwelling
2,11/7/18 16:31,"EMS call, excluding vehicle accident with injury",1106 N IH 35  ,Mental retardation/development disability facility
2,11/7/18 20:55,Dispatched & cancelled en route,201  SB  ,Highway or divided highway
1,11/7/18 21:35,Passenger vehicle fire,1420  Old Ranch Road 12  ,"Service station, gas station"
6,11/7/18 22:08,"Cooking fire, confined to container",1655  Mill ST ,Multifamily dwellings
1,11/8/18 0:16,"EMS call, excluding vehicle accident with injury",703  Academy ST ,Street or road in commercial area
2,11/8/18 1:38,Assist police or other governmental agency,2800 S IH 35  ,Highway or divided highway
1,11/8/18 5:20,"EMS call, excluding vehicle accident with injury",1203  Monica ST ,1 or 2 family dwelling
1,11/8/18 5:39,"EMS call, excluding vehicle accident with injury",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
1,11/8/18 12:02,"EMS call, excluding vehicle accident with injury",1700 S IH 35  ,"Textile, wearing apparel sales"
1,11/8/18 13:47,"Lock-in (if lock out , use 511 )",1303 S IH 35  ,Restaurant or cafeteria
2,11/8/18 15:30,Prescribed fire,  Clovis Barker RD ,Open land or field
1,11/8/18 17:14,"Animal problem, other",1845  Peter Garza ST ,"Street, other"
6,11/8/18 18:47,"Smoke scare, odor of smoke",300 S Stagecoach TRL ,Multifamily dwellings
2,11/8/18 19:49,"Medical assist, assist EMS crew",1444  River RD ,Multifamily dwellings
1,11/8/18 23:08,Motor vehicle accident with no injuries, N Edward Gary ST ,Street or road in commercial area
1,11/9/18 0:30,"EMS call, excluding vehicle accident with injury",1716  Hofheinz ST ,1 or 2 family dwelling
1,11/9/18 1:32,"Person in distress, other",604  Clyde CT ,1 or 2 family dwelling
2,11/9/18 2:43,Motor vehicle accident with no injuries,  EXIT 204B SB  ,Highway or divided highway
1,11/9/18 5:45,"Medical assist, assist EMS crew",514 W MLK DR ,1 or 2 family dwelling
1,11/9/18 7:01,"EMS call, excluding vehicle accident with injury",121  Craddock AVE ,1 or 2 family dwelling
2,11/9/18 11:18,No incident found on arrival at dispatch address,199  NB  ,Highway or divided highway
1,11/9/18 13:11,Vehicle accident with injuries,  Hwy 123  ,Highway or divided highway
1,11/9/18 13:24,No incident found on arrival at dispatch address,2300 S IH 35  ,Police station
1,11/9/18 14:05,"EMS call, excluding vehicle accident with injury",1290  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,11/9/18 16:35,Motor vehicle accident with no injuries,1500  Aquarena Springs DR ,Vehicle parking area
2,11/9/18 17:31,Motor vehicle accident with no injuries,202  NB  ,Highway or divided highway
1,11/9/18 19:00,Water or steam leak,1441  Leah AVE ,Multifamily dwellings
1,11/9/18 21:30,Motor vehicle accident with no injuries,1504  Aquarena Springs DR ,Street or road in commercial area
1,11/9/18 21:40,Gas leak (natural gas or LPG),426  Linda DR ,1 or 2 family dwelling
1,11/9/18 22:13,Vehicle accident with injuries,  Moore ST ,Street or road in commercial area
1,11/10/18 1:46,"EMS call, excluding vehicle accident with injury",1418  Wonder World DR ,1 or 2 family dwelling
0,11/10/18 1:59,"EMS call, excluding vehicle accident with injury",126 S Guadalupe ST ,Bar or nightclub
6,11/10/18 5:56,Outside stationary compactor/compacted trash fire,1401 E McCarty LN ,"Manufacturing, processing"
2,11/10/18 6:04,"Medical assist, assist EMS crew",1716  Hofheinz ST ,1 or 2 family dwelling
1,11/10/18 10:12,"Public service assistance, other", E Hopkins ST ,Street or road in commercial area
1,11/10/18 10:46,"Cooking fire, confined to container",  Broadway ST ,"Mercantile, business, other"
1,11/10/18 11:06,"EMS call, excluding vehicle accident with injury",651 E Hopkins ST ,Business office
2,11/10/18 11:26,Vehicle accident with injuries,600 W Hopkins ST ,Street or road in commercial area
2,11/10/18 12:16,"EMS call, excluding vehicle accident with injury",2001  Lancaster ST ,1 or 2 family dwelling
2,11/10/18 12:50,"EMS call, excluding vehicle accident with injury",2007  Castle Bluff DR ,1 or 2 family dwelling
1,11/10/18 14:16,"Medical assist, assist EMS crew",1800  Post RD ,Multifamily dwellings
2,11/10/18 19:31,Motor vehicle accident with no injuries,199  SB  ,Highway or divided highway
3,11/10/18 20:55,Vehicle accident with injuries,  Hwy 80  ,Street or road in commercial area
1,11/10/18 21:48,Lock-out,931  Sycamore ST ,1 or 2 family dwelling
1,11/11/18 1:31,"EMS call, excluding vehicle accident with injury",518  Linda DR ,Multifamily dwellings
1,11/11/18 2:53,"EMS call, excluding vehicle accident with injury",221 N Guadalupe ST ,Vehicle parking area
1,11/11/18 5:38,"Medical assist, assist EMS crew",1650  River RD ,Multifamily dwellings
4,11/11/18 13:48,Motor vehicle accident with no injuries,1111  Staples RD ,Highway or divided highway
1,11/11/18 15:31,"Cooking fire, confined to container",215 W MLK DR ,Playground
1,11/11/18 17:38,Smoke or odor removal,1818  Old Ranch Road 12  ,Multifamily dwellings
2,11/11/18 18:48,Motor vehicle accident with no injuries,1200 S IH 35  ,Highway or divided highway
2,11/11/18 19:51,Motor vehicle accident with no injuries,1300 S IH 35  ,Highway or divided highway
1,11/12/18 0:33,Motor vehicle accident with no injuries,  Braeden Brooke DR ,"Residential street, road or residential driveway"
1,11/12/18 7:33,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,11/12/18 9:10,No incident found on arrival at dispatch address,1818  Old Ranch Road 12  ,Multifamily dwellings
2,11/12/18 10:56,Police matter,201 E Access RD ,Street or road in commercial area
1,11/12/18 11:44,"EMS call, excluding vehicle accident with injury",442  Stagecoach TRL ,1 or 2 family dwelling
6,11/12/18 15:00,"Smoke scare, odor of smoke",500  Parker DR ,Multifamily dwellings
1,11/12/18 16:04,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,11/12/18 16:30,Alarm system sounded due to malfunction,1740  Old Ranch Road 12  ,Multifamily dwellings
3,11/12/18 18:33,Rescue or EMS standby,1807  Airport DR ,Aircraft runway
3,11/12/18 19:07,Public service,204  SB  ,Highway or divided highway
3,11/12/18 19:20,Smoke detector activation due to malfunction,102  Mosscliff CIR ,"Boarding/rooming house, residential hotels"
6,11/12/18 19:33,"Detector activation, no fire - unintentional",650  River RD ,Multifamily dwellings
2,11/12/18 21:26,Smoke detector activation due to malfunction,102  Mosscliff CIR ,"Boarding/rooming house, residential hotels"
1,11/12/18 21:33,"Arcing, shorted electrical equipment",1104 N LBJ DR ,1 or 2 family dwelling
6,11/12/18 23:04,No incident found on arrival at dispatch address,15  Tanglewood TRL ,1 or 2 family dwelling
4,11/13/18 1:28,Alarm system sounded due to malfunction,401 N Fredericksburg ST ,Multifamily dwellings
1,11/13/18 2:08,Vicinity alarm (incident in other location), N Comanche ST ,Street or road in commercial area
1,11/13/18 2:53,Smoke detector activation due to malfunction,1111  Avalon AVE ,Multifamily dwellings
1,11/13/18 2:55,Smoke detector activation due to malfunction,604  Alabama ST ,1 or 2 family dwelling
1,11/13/18 6:41,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,11/13/18 7:05,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
7,11/13/18 8:01,"Smoke scare, odor of smoke",226  Wonder World DR ,Business office
2,11/13/18 8:57,Dispatched & cancelled en route,205 E Access RD ,Highway or divided highway
1,11/13/18 11:51,No incident found on arrival at dispatch address,202  Porter ST ,"Household goods, sales, repairs"
2,11/13/18 13:23,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
1,11/13/18 13:33,Vehicle accident with injuries, W Hopkins ST ,"Residential street, road or residential driveway"
2,11/13/18 14:37,Smoke detector activation due to malfunction,2600  Hunter RD ,Multifamily dwellings
1,11/13/18 15:56,"Public service assistance, other",801  Bracewood CIR ,1 or 2 family dwelling
2,11/13/18 16:35,Motor vehicle accident with no injuries,1300  Hwy 123  ,Highway or divided highway
1,11/13/18 19:05,"EMS call, excluding vehicle accident with injury",415  North ST ,Multifamily dwellings
1,11/13/18 22:55,No incident found on arrival at dispatch address,100 W Sierra CIR ,"Residential street, road or residential driveway"
1,11/13/18 23:23,"Detector activation, no fire - unintentional",4002 S IH 35  ,Restaurant or cafeteria
1,11/14/18 1:06,Motor vehicle accident with no injuries,  Mill ST ,"Residential street, road or residential driveway"
2,11/14/18 1:37,"Smoke scare, odor of smoke",1111  Avalon AVE ,Multifamily dwellings
1,11/14/18 4:16,Smoke detector activation due to malfunction,201  Telluride ST ,Multifamily dwellings
1,11/14/18 6:52,"Medical assist, assist EMS crew",1015  Hwy 80  ,"Food and beverage sales, grocery store"
1,11/14/18 6:56,"EMS call, excluding vehicle accident with injury",301  Oakdale DR ,1 or 2 family dwelling
6,11/14/18 8:12,"Fuel burner/boiler malfunction, fire confined",400  Barnes DR ,"Manufacturing, processing"
1,11/14/18 9:57,"EMS call, excluding vehicle accident with injury",537  Lindsey ST ,1 or 2 family dwelling
1,11/14/18 10:01,"Alarm system sounded, no fire - unintentional",301  Foxtail RUN ,High school/junior high school/middle school
2,11/14/18 10:58,Motor vehicle accident with no injuries,201  SB  ,Highway or divided highway
1,11/14/18 11:36,"EMS call, excluding vehicle accident with injury",615 N Lbj DR ,"Adult education center, college classroom"
1,11/14/18 15:26,"Medical assist, assist EMS crew",922  Belvin ST ,1 or 2 family dwelling
1,11/14/18 17:22,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
6,11/14/18 17:33,Building fire - Residential,241  Mary Max CIR ,1 or 2 family dwelling
6,11/14/18 18:19,"Arcing, shorted electrical equipment",317  Craddock AVE ,Multifamily dwellings
2,11/14/18 18:23,Dispatched & cancelled en route,1321 N IH 35  ,"Hotel/motel, commercial"
1,11/14/18 18:55,"Medical assist, assist EMS crew",200 W Hopkins ST ,Vehicle parking area
2,11/14/18 20:33,Vehicle accident with injuries,206  NB  ,Highway or divided highway
2,11/14/18 21:00,Fires in structures other than in a building,250 S Stagecoach TRL ,Multifamily dwellings
1,11/14/18 22:36,Smoke detector activation due to malfunction,1271  Sadler DR ,Multifamily dwellings
1,11/15/18 8:14,"Alarm system sounded, no fire - unintentional",1509 N IH 35  ,"Clinic, clinic-type infirmary"
1,11/15/18 9:57,Alarm system sounded due to malfunction,1141 N IH 35  ,Restaurant or cafeteria
1,11/15/18 10:27,Gas leak (natural gas or LPG),600  Alabama ST ,"Residential street, road or residential driveway"
2,11/15/18 10:41,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/15/18 13:12,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,"Textile, wearing apparel sales"
1,11/15/18 14:04,Grass fire,5101 S IH 35  ,Street or road in commercial area
2,11/15/18 14:55,"EMS call, excluding vehicle accident with injury",900 N IH 35 RD ,Highway or divided highway
1,11/15/18 17:47,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,11/15/18 17:57,"EMS call, excluding vehicle accident with injury",1004  Hwy 123  ,Vehicle parking area
2,11/15/18 18:21,Motor vehicle accident with no injuries,802 S Guadalupe ST ,Street or road in commercial area
1,11/15/18 18:35,Motor vehicle accident with no injuries,243  Wonder World DR ,Vehicle parking area
1,11/15/18 18:42,Motor vehicle accident with no injuries,1642  Aquarena Springs DR ,Street or road in commercial area
2,11/15/18 21:45,No incident found on arrival at dispatch address,209  Mary Max CIR ,1 or 2 family dwelling
1,11/15/18 23:56,"EMS call, excluding vehicle accident with injury",1133  Cheatham ST ,1 or 2 family dwelling
1,11/16/18 0:21,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
3,11/16/18 11:19,Motor vehicle accident with no injuries,201  NB  ,Highway or divided highway
2,11/16/18 12:14,"EMS call, excluding vehicle accident with injury",180  Springtown WAY ,Vehicle parking area
2,11/16/18 13:08,Motor vehicle accident with no injuries, N LBJ DR ,Street or road in commercial area
2,11/16/18 13:43,Motor vehicle accident with no injuries,  EXIT 201 NB  ,Highway or divided highway
1,11/16/18 14:22,"EMS call, excluding vehicle accident with injury",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
1,11/16/18 14:45,Police matter,308  Magnolia DR ,Fire station
2,11/16/18 15:23,"EMS call, excluding vehicle accident with injury",321  Broadway ST ,1 or 2 family dwelling
3,11/16/18 16:10,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
3,11/16/18 16:27,Motor vehicle accident with no injuries,1004  Hwy 123  ,Highway or divided highway
1,11/16/18 19:00,"System malfunction, other",201  Springtown WAY ,"Professional supplies, services"
2,11/16/18 19:06,Vehicle accident with injuries,204  NB  ,Highway or divided highway
1,11/16/18 19:09,"Medical assist, assist EMS crew",1106 N IH 35  ,Hospital - medical or psychiatric
1,11/16/18 20:30,Animal problem,107  Fenway LP ,Multifamily dwellings
2,11/16/18 20:45,"Service Call, other",210  NB  ,Highway or divided highway
1,11/16/18 22:38,No incident found on arrival at dispatch address,1001 E McCarty LN ,"Hotel/motel, commercial"
1,11/17/18 1:02,Assist police or other governmental agency,2913  Hunter RD ,Multifamily dwellings
1,11/17/18 1:21,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,11/17/18 4:31,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
2,11/17/18 5:23,Smoke detector activation due to malfunction,2600  Hunter RD ,Multifamily dwellings
1,11/17/18 8:51,Alarm system sounded due to malfunction,2600  Hunter RD ,Multifamily dwellings
1,11/17/18 9:03,"Person in distress, other",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/17/18 9:57,"Person in distress, other",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/17/18 11:42,"Medical assist, assist EMS crew",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,11/17/18 12:52,"Medical assist, assist EMS crew",201  San Marcos Springs DR ,Graded and cared-for plots of land
1,11/17/18 13:09,"EMS call, excluding vehicle accident with injury",104  Reyes ST ,1 or 2 family dwelling
1,11/17/18 13:35,"Alarm system sounded, no fire - unintentional",205  Sky Springs PASS ,1 or 2 family dwelling
2,11/17/18 14:47,Vehicle accident with injuries,201  NB  ,Highway or divided highway
1,11/17/18 14:57,Lock-out,1107  Furman AVE ,1 or 2 family dwelling
2,11/17/18 15:19,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
3,11/17/18 16:24,Vehicle accident with injuries,199  NB  ,Highway or divided highway
1,11/17/18 19:56,"EMS call, excluding vehicle accident with injury",1202 S IH 35  ,"Eating, drinking places"
1,11/17/18 21:58,Vehicle accident with injuries,904  Craddock AVE ,"Residential street, road or residential driveway"
1,11/17/18 21:59,"Medical assist, assist EMS crew",1106 N IH 35  ,Hospital - medical or psychiatric
0,11/18/18 1:42,"EMS call, excluding vehicle accident with injury",103  Sageleaf Willow DR ,1 or 2 family dwelling
1,11/18/18 2:08,"EMS call, excluding vehicle accident with injury",1100  Patton ST ,"Ballroom, gymnasium"
1,11/18/18 3:40,"EMS call, excluding vehicle accident with injury",317  Craddock AVE ,Multifamily dwellings
1,11/18/18 4:01,"EMS call, excluding vehicle accident with injury",121  Riverside DR ,1 or 2 family dwelling
0,11/18/18 6:01,"EMS call, excluding vehicle accident with injury",3413  Hunter RD ,Vehicle parking area
3,11/18/18 6:55,Unauthorized burning,1350 N LBJ DR ,1 or 2 family dwelling
1,11/18/18 12:34,No incident found on arrival at dispatch address,738  Easton DR ,1 or 2 family dwelling
1,11/18/18 19:02,"Vehicle accident, general cleanup",1500  Old Ranch Road 12  ,"Residential street, road or residential driveway"
1,11/18/18 23:21,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
0,11/19/18 1:41,"EMS call, excluding vehicle accident with injury",718  Harwood DR ,1 or 2 family dwelling
1,11/19/18 1:45,"Vehicle accident, general cleanup",300  Craddock AVE ,"Residential street, road or residential driveway"
1,11/19/18 3:32,"EMS call, excluding vehicle accident with injury",237  Newberry TRL ,1 or 2 family dwelling
1,11/19/18 8:10,"EMS call, excluding vehicle accident with injury",400  Barnes DR ,"Manufacturing, processing"
1,11/19/18 12:21,Alarm system sounded due to malfunction,1001 E McCarty LN ,"Hotel/motel, commercial"
1,11/19/18 12:33,Motor vehicle accident with no injuries,  Wonder World DR ,Street or road in commercial area
2,11/19/18 14:14,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,11/19/18 16:42,Lock-out,1101  Leah AVE ,Vehicle parking area
1,11/19/18 16:52,"EMS call, excluding vehicle accident with injury",1350 N IH 35  ,Business office
2,11/19/18 17:57,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
2,11/19/18 19:38,Outside stationary compactor/compacted trash fire,1350  Sadler DR ,Vehicle parking area
1,11/19/18 20:43,"Medical assist, assist EMS crew",1610 N IH 35  ,Vehicle parking area
1,11/19/18 22:50,Assist invalid,1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,11/19/18 23:31,"Medical assist, assist EMS crew",2  Timbercrest  ,1 or 2 family dwelling
1,11/20/18 0:46,No incident found on arrival at dispatch address,401 N Fredericksburg ST ,Multifamily dwellings
1,11/20/18 1:13,"Medical assist, assist EMS crew",200  Robbie LN ,Multifamily dwellings
1,11/20/18 3:30,No incident found on arrival at dispatch address, E Hopkins ST ,Street or road in commercial area
1,11/20/18 8:44,"Medical assist, assist EMS crew",1980  Aquarena Springs DR ,Multifamily dwellings
1,11/20/18 9:22,"Medical assist, assist EMS crew",312  Cheatham ST ,"Doctor, dentist or oral surgeon's office"
1,11/20/18 10:52,"EMS call, excluding vehicle accident with injury",155 S LBJ DR ,Specialty shop
1,11/20/18 11:33,Public service,2600  Hunter RD ,Multifamily dwellings
1,11/20/18 16:56,"EMS call, excluding vehicle accident with injury",626 W San Antonio ST ,1 or 2 family dwelling
0,11/20/18 19:25,"EMS call, excluding vehicle accident with injury",2  Greenpointe  ,1 or 2 family dwelling
2,11/20/18 21:09,Alarm system sounded due to malfunction,1001 E McCarty LN ,"Hotel/motel, commercial"
6,11/20/18 23:10,Building fire,2201 S IH 35  ,Convenience store
1,11/21/18 2:51,"Medical assist, assist EMS crew",521  Parkdale DR ,1 or 2 family dwelling
1,11/21/18 7:47,"EMS call, excluding vehicle accident with injury",1101  Leah AVE ,Multifamily dwellings
1,11/21/18 9:42,"Medical assist, assist EMS crew",155  Wonder World DR ,"Clinic, clinic-type infirmary"
1,11/21/18 12:04,"EMS call, excluding vehicle accident with injury",1348  Thorpe LN ,1 or 2 family dwelling
2,11/21/18 14:13,"Vehicle accident, general cleanup",205  SB  ,Highway or divided highway
1,11/21/18 16:08,Power line down,518  Linda DR ,Vehicle parking area
1,11/21/18 18:14,"EMS call, excluding vehicle accident with injury",1800  Post RD ,1 or 2 family dwelling
2,11/21/18 19:02,"EMS call, excluding vehicle accident with injury",803 S Guadalupe ST ,"Mercantile, business, other"
2,11/21/18 19:35,Gas leak (natural gas or LPG),1201  Thorpe LN ,1 or 2 family dwelling
3,11/21/18 20:18,Motor vehicle accident with no injuries,  EXIT 200 SB  ,Highway or divided highway
2,11/22/18 10:28,"Alarm system sounded, no fire - unintentional",1319  Andalucia DR ,1 or 2 family dwelling
1,11/22/18 11:05,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,11/22/18 11:40,"EMS call, excluding vehicle accident with injury",2  Timbercrest  ,1 or 2 family dwelling
1,11/22/18 15:53,"EMS call, excluding vehicle accident with injury",223  Tampico ST ,1 or 2 family dwelling
1,11/22/18 16:04,No incident found on arrival at dispatch address,  Crest DR ,"Residential street, road or residential driveway"
1,11/22/18 17:18,"EMS call, excluding vehicle accident with injury",1951  Hunter RD ,Multifamily dwellings
1,11/22/18 17:33,"EMS call, excluding vehicle accident with injury",718  Harwood DR ,1 or 2 family dwelling
1,11/22/18 18:50,"EMS call, excluding vehicle accident with injury",411  Oak Ridge DR ,1 or 2 family dwelling
1,11/22/18 19:06,"Medical assist, assist EMS crew",3939 S IH 35  ,"Textile, wearing apparel sales"
1,11/22/18 21:11,"EMS call, excluding vehicle accident with injury",321  Durango ST ,1 or 2 family dwelling
1,11/23/18 9:36,"Medical assist, assist EMS crew",503  Uhland RD ,1 or 2 family dwelling
2,11/23/18 10:21,"Smoke scare, odor of smoke",2249  San Marcos HWY ,Graded and cared-for plots of land
1,11/23/18 13:29,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
1,11/23/18 14:06,Public service,1631  Aquarena Springs DR ,Multifamily dwellings
0,11/23/18 14:30,"EMS call, excluding vehicle accident with injury",3939 S Ih 35  ,"Mercantile, business, other"
0,11/23/18 14:49,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,"Mercantile, business, other"
1,11/23/18 16:14,"Medical assist, assist EMS crew",1902 N Bishop ST ,Playground
2,11/23/18 16:57,Vehicle accident with injuries,202  SB  ,Highway or divided highway
2,11/23/18 17:21,Vehicle accident with injuries, E Access RD ,Highway or divided highway
3,11/23/18 17:55,Vehicle accident with injuries,200  NB  ,Highway or divided highway
1,11/23/18 20:15,"Medical assist, assist EMS crew",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/24/18 3:35,"EMS call, excluding vehicle accident with injury",1754  River RD ,Multifamily dwellings
1,11/24/18 8:14,"False alarm or false call, other",900  Barnes DR ,"Hotel/motel, commercial"
3,11/24/18 9:44,Vehicle accident with injuries,206  NB  ,Highway or divided highway
2,11/24/18 11:53,Vehicle accident with injuries,  Wonder World DR ,"Street, other"
2,11/24/18 12:00,Motor vehicle accident with no injuries,201  NB  ,Highway or divided highway
4,11/24/18 12:44,Vehicle accident with injuries,200  NB  ,Highway or divided highway
1,11/24/18 14:31,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,11/24/18 17:10,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,11/24/18 17:14,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/24/18 20:33,"Smoke scare, odor of smoke",1700  Old Ranch Road 12  ,Convenience store
1,11/24/18 21:06,"EMS call, excluding vehicle accident with injury",656  Mill ST ,1 or 2 family dwelling
1,11/24/18 21:39,No incident found on arrival at dispatch address,1015  Hwy 80  ,Vehicle parking area
1,11/24/18 22:57,"EMS call, excluding vehicle accident with injury",127 E Hopkins ST ,Bar or nightclub
1,11/24/18 23:31,Police matter,3936 S IH 35  ,Vehicle parking area
1,11/25/18 2:19,"EMS call, excluding vehicle accident with injury",426  Linda DR ,1 or 2 family dwelling
1,11/25/18 4:36,Public service,1112  Faris ST ,1 or 2 family dwelling
2,11/25/18 11:26,Vehicle accident with injuries,1103  Hwy 80  ,Street or road in commercial area
1,11/25/18 12:33,Motor vehicle accident with no injuries,  Hwy 80  ,Street or road in commercial area
1,11/25/18 12:45,"EMS call, excluding vehicle accident with injury",1307  Uhland RD ,"Jail, prison (not juvenile)"
1,11/25/18 17:00,"EMS call, excluding vehicle accident with injury",302  Saltillo ST ,1 or 2 family dwelling
1,11/25/18 18:36,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
4,11/25/18 23:01,Bomb scare - no bomb,1029 W San Antonio ST ,1 or 2 family dwelling
1,11/25/18 23:24,"Emergency medical service, other",1699 N IH 35  ,Convenience store
1,11/26/18 4:49,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
0,11/26/18 9:18,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,11/26/18 11:30,"Medical assist, assist EMS crew",1301  Hwy 123  ,High school/junior high school/middle school
1,11/26/18 12:10,"EMS call, excluding vehicle accident with injury",121  Kingwood ST ,1 or 2 family dwelling
2,11/26/18 13:48,Motor vehicle accident with no injuries,210  NB  ,Highway or divided highway
1,11/26/18 14:05,"Smoke detector activation, no fire - unintentional",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
0,11/26/18 15:01,"EMS call, excluding vehicle accident with injury",442  Stagecoach TRL ,1 or 2 family dwelling
2,11/26/18 18:14,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
1,11/26/18 18:19,"EMS call, excluding vehicle accident with injury",79  Elm Hill CT ,1 or 2 family dwelling
1,11/26/18 18:24,Dispatched & cancelled en route,1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/26/18 21:00,Motor vehicle accident with no injuries, E Hopkins ST ,Street or road in commercial area
